Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.25780987548766E-05,0.000681174627659374,0.253431024547346,0,0,0,7.68792706823456,0.223518553679189,2.28783796069601E-06,2.4368970219585E-05,0.222632555984978,0.00126532411786533,0.0612129580425704,0,0,0,0,0,0,package://urdf_33/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_33/meshes/base_link.STL,,CPMT1-1M0600F1-000-T1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_1,3.98954434639265E-13,4.03223505174777E-13,0.26433978337326,0,0,0,6.11475303421136,0.161343448288565,1.7193779970903E-12,-8.0078128507579E-13,0.161343448289074,-2.16370142135879E-13,0.0375013504829154,0,0,0,0,0,0,package://urdf_33/meshes/L_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_33/meshes/L_1.STL,,CPMT1-1M0600F1-000-T2-1,cor_1,Axis1,J_1,prismatic,0,0,0.0055,0,0,0,base_link,0,0,-1,3000,0.3,0,0.3,,,,,,,,
L_2,-1.54726711415074E-05,1.48279765147546E-05,0.27355137604715,0,0,0,5.61186800959419,0.152704567469711,-1.99839105054726E-06,2.25517920262287E-05,0.15270439731685,-2.16121340270337E-05,0.0260186801256102,0,0,0,0,0,0,package://urdf_33/meshes/L_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_33/meshes/L_2.STL,,CPMT1-1M0600F1-000-T3-1,cor_2,Axis2,J_2,prismatic,0,0,0.00109999999999999,0,0,0,L_1,0,0,-1,3000,0.3,0,0.3,,,,,,,,
L_3,0.00111475710414246,-0.00106830889146928,0.0351211060156069,0,0,0,1.33548733204388,0.00141885073894076,5.23148724048129E-21,1.25100542298513E-19,0.00142013898827827,5.33602710309307E-18,0.00177138550554334,0,0,0,0,0,0,package://urdf_33/meshes/L_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_33/meshes/L_3.STL,,110nm-1,cor_3,Axis3,J_3,fixed,-0.00111475710414264,0.00106830889147812,0.5345,0,0,0,L_2,0,0,0,,,,,,,,,,,,
L_4,-2.69322550779714E-15,-0.00187597128498227,0.19175587985399,0,0,0,7.12547663600948,0.150883666468145,-4.86813358251831E-17,-1.63129116642073E-15,0.149566094420569,0.00191828991222105,0.0336823135987742,0,0,0,0,0,0,package://urdf_33/meshes/L_4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_33/meshes/L_4.STL,,Part1-1,cor_4,Axis4,J_4,revolute,0.00111475710414247,-0.00105760591264392,0.0805000000000002,0,0,0,L_3,0,0,1,100,10,-1.5,1.5,,,,,,,,
L_5,-0.0351211060156067,-6.83720389332843E-11,-1.18423937323087E-10,0,0,0,1.33548733204388,0.00177138550554334,2.75211833443863E-19,-5.32321234047554E-19,0.00142013898827827,-4.69748206618501E-15,0.00141885073894075,0,0,0,0,0,0,package://urdf_33/meshes/L_5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_33/meshes/L_5.STL,,110nm-2,cor_5,Axis5,J_5,fixed,-0.0600000000000001,0.0039892970211759,0.407499999999999,0,0,0,L_4,0,0,0,,,,,,,,,,,,
L_6,-0.0319527310518314,-0.0291590234218251,-1.18424603456901E-10,0,0,0,0.411102853330563,0.000499764279838767,-0.000192302778056744,2.1189828192468E-18,0.000659336575060993,-1.0719399256959E-19,0.000681456834015964,0,0,0,0,0,0,package://urdf_33/meshes/L_6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_33/meshes/L_6.STL,,Mount_1-1,cor_6,Axis6,J_6,revolute,-0.0805,0,0,0,0,0,L_5,-1,0,0,100,10,-1.5,1.5,,,,,,,,
L_7,6.96664947952286E-15,0.0453788939160451,-1.18423715278482E-10,0,0,0,1.33548733204388,0.00142013898827827,-1.84056124708708E-19,1.0552122028306E-14,0.00177138550554334,-7.683819648732E-18,0.00141885073894075,0,0,0,0,0,0,package://urdf_33/meshes/L_7.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_33/meshes/L_7.STL,,110nm-3,cor_7,Axis7,J_7,revolute,-0.0670000000000069,-0.0410000000000239,0,0,0,0,L_6,0,-1,0,100,10,-1.5,1.5,,,,,,,,
L_8,3.84911785500375E-08,-0.0133328682934217,-0.0381377013358021,0,0,0,0.393416615360404,0.000661083753643725,-2.67931429406481E-10,-1.85536446882472E-10,0.000787693396521615,-0.000152139895522502,0.000743677897672874,0,0,0,0,0,0,package://urdf_33/meshes/L_8.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_33/meshes/L_8.STL,,Mount_2-1,cor_8,Axis8,J_8,fixed,0,0.0805000000000001,0,0,0,0,L_7,0,0,0,,,,,,,,,,,,
L_9,-1.1394465926351E-10,-1.37005191046258E-10,-0.0351211058680123,0,0,0,1.33548733204388,0.00142013898827827,2.72303601787996E-15,-4.15665948906303E-20,0.00141885073894075,7.75159250483738E-18,0.00177138550554334,0,0,0,0,0,0,package://urdf_33/meshes/L_9.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_33/meshes/L_9.STL,,110nm-4,cor_9,Axis9,J_9,fixed,-0.000433012701890473,-0.0412499999999927,-0.0659999999999992,0,0,0,L_8,0,0,0,,,,,,,,,,,,
